key,en,de,fr,zh
lang.en,English,Englisch,Anglais,
lang.de,German,Deutsch,Allemand,
lang.fr,French,Français,Français,
lang.zh,Chinese,Chinesisch,Chinois,
window.title,DV ModManager,DV ModManager,DV ModManager,
toolbar.profile.label,Profile:,Profil:,Profil :,
toolbar.save_profile,Save,Speichern,Enregistrer,
toolbar.save_profile.tooltip,Save current mod selection as the active profile,Aktuelle Modauswahl als aktives Profil speichern,Enregistrer la sélection actuelle des mods comme profil actif,
toolbar.manage_profiles,Manage Profiles,Profile verwalten,Gérer les profils,
toolbar.manage_profiles.tooltip,"Load, import, export or delete profiles","Profile laden, importieren, exportieren oder löschen","Charger, importer, exporter ou supprimer des profils",
toolbar.refresh,⟳ Refresh,⟳ Aktualisieren,⟳ Actualiser,
toolbar.refresh.tooltip,Rescan the Mods folder,Mods-Ordner neu scannen,Rescanner le dossier Mods,
toolbar.unload_all,⏊ Unload All,⏊ Alle entladen,⏊ Décharger tout,
toolbar.unload_all.tooltip,Deactivate all currently active mods,Alle derzeit aktiven Mods deaktivieren,Désactiver tous les mods actuellement actifs,
toolbar.check_updates,↑ Check Updates,↑ Updates prüfen,↑ Vérifier les mises à jour,
toolbar.check_updates.tooltip,Check all mods for available updates,Alle Mods auf verfügbare Updates prüfen,Vérifier les mises à jour disponibles pour tous les mods,
toolbar.update_all,↑↑ Update All,↑↑ Alle aktualisieren,↑↑ Mettre à jour tout,
toolbar.update_all.tooltip,Download and install all available updates,Alle verfügbaren Updates herunterladen und installieren,Télécharger et installer toutes les mises à jour disponibles,
toolbar.settings,⚙,⚙,⚙,
toolbar.settings.tooltip,Open settings,Einstellungen öffnen,Ouvrir les paramètres,
panel.available,Available Mods,Verfügbare Mods,Mods disponibles,
panel.active,Active Mods,Aktive Mods,Mods actifs,
panel.details,Details,Details,Détails,
activate.button,▶,▶,▶,
activate.button.tooltip,Activate selected mod,Ausgewählten Mod aktivieren,Activer le mod sélectionné,
deactivate.button,◀,◀,◀,
deactivate.button.tooltip,Deactivate selected mod,Ausgewählten Mod deaktivieren,Désactiver le mod sélectionné,
install.button,⊕,⊕,⊕,
install.button.tooltip,Install mod or import modpack,Mod installieren oder Modpack importieren,Installer un mod ou importer un modpack,
statusbar.game_running,Game Running,Spiel läuft,Jeu en cours d'exécution,
statusbar.game_not_running,Game Not Running,Spiel läuft nicht,Jeu non en cours d'exécution,
statusbar.ready,Ready.,Bereit.,Prêt.,
settings.title,Settings,Einstellungen,Paramètres,
settings.section.game_path,Derail Valley Installation,Derail Valley-Installation,Installation de Derail Valley,
settings.game_path.placeholder,Path to Derail Valley folder...,Pfad zum Derail Valley-Ordner...,Chemin d'accès au dossier Derail Valley...,
settings.game_path.browse,Browse,Durchsuchen,Parcourir,
settings.game_path.auto,Auto,Automatisch,Automatique,
settings.game_path.auto.tooltip,Auto-detect via Steam,Per Steam automatisch erkennen,Détection automatique via Steam,
settings.section.storage,Storage Folder,Speicherordner,Dossier de stockage,
settings.storage.description,"Where version archives, profiles and logs are kept.","Hier werden Versionsarchive, Profile und Protokolle gespeichert.","Où les archives de version, les profils et les journaux sont conservés.",
settings.storage.browse,Browse,Durchsuchen,Parcourir,
settings.section.general,General,Allgemein,Général,
settings.auto_check_updates,Check for updates on startup,Bei Start auf Updates prüfen,Vérifier les mises à jour au démarrage,
settings.backup_before_changes,Backup mods before bulk changes,Mods vor Massenänderungen sichern,Sauvegarder les mods avant les modifications en bloc,
settings.enable_version_archiving,Archive versions for rollback,Versionen für Rollback archivieren,Archiver les versions pour restauration,
settings.backup_folder_button,Open Folder,Ordner öffnen,Ouvrir le dossier,
settings.max_cache_size,Max version cache size (GB),Max. Versionscachegröße (GB),Taille maximale du cache de version (Go),
settings.language,Language,Sprache,Langue,
settings.language.english,English,Englisch,Anglais,
settings.button.cancel,Cancel,Abbrechen,Annuler,
settings.button.save,Save,Speichern,Enregistrer,
dialog.button.ok,OK,OK,OK,
dialog.button.yes,Yes,Ja,Oui,
dialog.button.no,No,Nein,Non,
dialog.button.rollback_versions,Rollback Versions,Versionen zurücksetzen,Restaurer les versions,回滚版本
dialog.button.keep_current,Keep Current Versions,Aktuelle Versionen behalten,Conserver les versions actuelles,保留当前版本
dialog.uninstall_title,Uninstall Mod,Mod deinstallieren,Désinstaller le mod,
dialog.uninstall_message,"Remove ''{0}''? The current version will be archived for rollback, then deleted.","„{0}"" entfernen? Die aktuelle Version wird zur Wiederherstellung archiviert und dann gelöscht.","Supprimer « {0} » ? La version actuelle sera archivée pour restauration, puis supprimée.",
dialog.update_all_title,Update All,Alle aktualisieren,Mettre à jour tout,
dialog.update_all_message,Update {0} mod(s)? Current versions will be archived.,{0} Mod(s) aktualisieren? Aktuelle Versionen werden archiviert.,Mettre à jour {0} mod(s) ? Les versions actuelles seront archivées.,
dialog.unload_all_title,Unload All Mods,Alle Mods entfernen,Décharger tous les mods,
dialog.unload_all_message,Deactivate all {0} active mod(s)?,Alle {0} aktiven Mod(s) deaktivieren?,Désactiver tous les {0} mod(s) actif(s) ?,
dialog.download_missing_title,Download Missing Mods,Fehlende Mods herunterladen,Télécharger les mods manquants,
dialog.invalid_path_title,Invalid Path,Ungültiger Pfad,Chemin invalide,
dialog.invalid_path_message,The selected folder does not appear to be a Derail Valley installation.,Der ausgewählte Ordner scheint keine Derail Valley-Installation zu sein.,Le dossier sélectionné ne semble pas être une installation de Derail Valley.,
dialog.game_not_found_title,Not Found,Nicht gefunden,Non trouvé,
dialog.game_not_found_message,Could not auto-detect Derail Valley. Please select the folder manually.,Derail Valley konnte nicht automatisch erkannt werden. Wählen Sie den Ordner manuell aus.,Impossible de détecter automatiquement Derail Valley. Veuillez sélectionner le dossier manuellement.,
modstate.active,Active,Aktiv,Actif,
modstate.inactive,Inactive,Inaktiv,Inactif,
modstate.update_available,Update available → {0},Update verfügbar → {0},Mise à jour disponible → {0},
modstate.missing_dependency,Missing dependency,Fehlende Abhängigkeit,Dépendance manquante,
modstate.no_metadata,No metadata,Keine Metadaten,Pas de métadonnées,
modstate.missing,Missing — not found on disk,Fehlend – nicht auf Datenträger gefunden,Manquant — non trouvé sur le disque,
status.detected_game,Detected game at: {0},Spiel erkannt unter: {0},Jeu détecté à : {0},
status.game_not_found,Game not found. Please set the game path in Settings.,Spiel nicht gefunden. Bitte legen Sie den Spielpfad in den Einstellungen fest.,Jeu non trouvé. Veuillez définir le chemin du jeu dans les paramètres.,
status.startup_error,Startup error: {0},Startfehler: {0},Erreur de démarrage : {0},
status.no_mods_found,No mods found in {0},Keine Mods gefunden in {0},Aucun mod trouvé dans {0},
status.mods_found,"Found {0} mod(s) — {1} active, {2} inactive.","{0} Mod(s) gefunden – {1} aktiv, {2} inaktiv.","{0} mod(s) trouvé(s) — {1} actif, {2} inactif.",
status.game_path_not_set,Game path not set. Open Settings to configure.,Spielpfad nicht gesetzt. Öffnen Sie Einstellungen zum Konfigurieren.,Chemin du jeu non défini. Ouvrez Paramètres pour configurer.,
status.mods_folder_not_found,Mods folder not found: {0},Mods-Ordner nicht gefunden: {0},Dossier Mods non trouvé : {0},
status.scan_error,Scan error: {0},Scan-Fehler: {0},Erreur de numérisation : {0},
